//Dictionary
a	nho, mot it
consult	tra cuu, tham khao, tham do, hoi y kien
consumer	nguoi tieu dung
contact	su lien lac, su giao thiep; tiep xuc
contain	bao ham, chua dung, bao gom
container	cai dung, chua; cong te no
contemporary	duong thoi, duong dai
content	noi dung, su hai long
contest	cuoc thi, tran dau, cuoc tranh luan cuoc chien dau, chien tranh
context	van canh, khung canh, pham vi
continent	luc dia, dai luc (luc dia bac my)
continue	tiep tuc, lam tiep
continuous	lien tuc, lien tiep
continuously	lien tuc, lien tiep
contract	hop dong, su ky hop dong; ky ket
contrast	su tuong phan; lam tuong phan, lam trai nguoc
contrasting	tuong phan
contribute	dong gop, ghop phan
contribution	su dong gop, su gop phan
control	su dieu khien, quyen hanh, quyen luc, quyen chi huy
controlled	duoc dieu khien, duoc kiem tra
convenient	tien loi, thuan loi, thich hop
convention	hoi nghi, hiep dinh, quy uoc
conventional	quy uoc
conversation	cuoc dam thoai, cuoc tro chuyen
convert	doi, bien doi
convince	lam cho tin, thuyet phuc; lam cho nhan thuc thay
cook	nau an, nguoi nau an
cooker	lo, bep, noi nau
cookie	banh quy
cooking	su nau an, cach nau an
cool	mat me, diem tinh; lam mat,
cope	doi pho, duong dau
copy	ban sao, ban chep lai; su sao chep; sao chep, bat chuoc
core	nong cot, hat nhan; day long
corner	goc (tuong, nha, pho...)
correct	dung, chinh xac; sua, sua chua
correctly	dung, chinh xac
cost	gia, chi phi; tra gia, phai tra
cottage	nha tranh
cotton	bong, chi, soi
cough	ho, su ho, tieng hoa
coughing	ho
could	co the
council	hoi dong
count	dem, tinh
counter	quay hang, quay thu tien, may dem
country	nuoc, quoc gia, dat nuoc
countryside	mien que, mien nong thon
county	hat, tinh
couple	doi, cap; doi vo chong, cap nam nu. a couple mot cap, mot doi
courage	su can dam, su dung cam, dung khi
course	tien trinh, qua trinh dien tien; san chay dua. of course di nhien, loat; khoa; dot; lop
court	san, san (tennis...), toa an, quan toa, phien toa
cousin	anh em ho
cover	bao boc, che phu; vo, vo boc
covered	co mai che, kin dao
covering	su bao boc, su che phu, cai bao, boc
cow	con bo cai
crack	cu, xuat sac; lam nut, lam vo, nut ne, ran nut
cracked	ran, nut
craft	nghe, nghe thu cong
crash	vai tho; su roi (may bay), su pha san, sup do; pha tan tanh, pha vun
crazy	dien, mat tri
cream	kem
create	sang tao, tao nen
creature	sinh vat, loai vat
credit	su tin, long tin, danh tieng; tien gu ngan hang
crime	toi, toi ac, toi pham
criminal	co toi, pham toi; ke pham toi, toi pham
crisis	su khung hoang, con khung hoang
crisp	gion
criterion	tieu chuan
critical	phe binh, phe phan; kho tinh
criticism	su phe binh, su phe phan, loi phe binh, loi phe phan
criticize	phe binh, phe phan, chi trich
crop	vu mua
cross	cay thanh gia, noi thong kho; su bang qua; bang qua, vuot qua
crowd	dam dong
crowded	dong duc
crown	vuong mien, vua, ngai vang; dinh cao nhat
crucial	quyet dinh, cot yeu, chu yeu
cruel	doc ac, du ton, tan nhan
crush	ep, vat, de nat, de bep
cry	khoc, keu la; su khoc, tieng khoc, su keu la
cultural	(thuoc) van hoa
culture	van hoa, su mo mang, su giao duc
cup	tach, chen
cupboard	1 loai tu co ngan
curb	kiem che, nen lai, han che
cure	chua tri, dieu tri; cach chua benh, cach dieu tri; thuoc
curious	ham muon, to mo, la lung
curiously	to mo, hieu ky, la ky
curl	quan, xoan, uon quan, lam xoan; su uon quan
curly	quan, xoan
current	hien hanh, pho bien, hien nay; dong (nuoc), luong (gio)
currently	hien thoi, hien nay
curtain	man (cua, rap hat, khoi, suong)
curve	duong cong, duong vong; cong, uon cong, be cong
curved	cong
custom	phong tuc, tuc le, thoi quen, tap quan
customer	khach hang
customs	thue nhap khau, hai quan
cut	cat, chat; su cat
cycle	chu ky, chu trinh, vong; quay vong theo chu ky, di xe dap
cycling	su di xe dap
dad	bo, cha
daily	hang ngay
damage	moi han, dieu hai, su thiet hai; lam hu hai, lam hong, gay thiet hai
damp	am, am uot, am thap
dance	su nhay mua, su khieu vu; nhay mua, khieu vu
dancer	dien vien mua, nguoi nhay mua
dancing	su nhay mua, su khieu vu
danger	su nguy hiem, moi hiem ngheo; nguy co, moi de doa
dangerous	nguy hiem
dare	dam, dam duong dau voi; thach
dark	toi, toi tam; bong toi, am muoi
data	so lieu, du lieu
