//Dictionary
a	nho, mot it
senior	nhieu tuoi hon, danh cho tre em tren 11t; nguoi lon tuoi hon, sinh vien nam cuoi truong trung hoc, cao dang
sense	giac quan, tri giac, cam giac
sensible	co oc xet doan; hieu, nhan biet duoc
sensitive	de bi thuong, de bi hong; de bi xuc pham
sentence	cau
separate	khac nhau, rieng biet; lam roi, tach ra, chia tay
separated	ly than
separately	khong cung nhau, thanh nguoi rieng, vat rieng
separation	su chia cat, phan ly, su chia tay, ly than
september	thang 9
series	loat, day, chuoi
serious	dung dan, nghiem trang
seriously	dung dan, nghiem trang
servant	nguoi hau, day to
serve	phuc vu, phung su
service	su phuc vu, su hau ha
session	buoi hop, phien hop, buoi, phien
set	bo, bon, dam, lu; dat de, bo tri
settle	giai quyet, dan xep, hoa giai, dat, bo tri
several	vai
severe	khat khe, gay gat (thai do, cu xu); gian di, moc mac (kieu cach, trang phuc, dung nhan)
severely	khat khe, gay gat (thai do, cu xu); gian di, moc mac (kieu cach, trang phuc, dung nhan)
sew	may, khau
sewing	su khau, su may va
sex	gioi, giong
sexual	gioi tinh, cac van de sinh ly
sexually	gioi tinh, cac van de sinh ly
shade	bong, bong toi
shadow	bong, bong toi, bong ram, bong mat
shake	rung, lac, giu; su rung, su lac, su giu
shall	du doan tuong lai: se
shallow	nong, can
shame	su xau ho, then thung, su nguong
shape	hinh, hinh dang, hinh thu
shaped	co hinh dang duoc chi ro
share	dong gop, tham gia, chia se; phan dong gop, phan tham gia, phan chia se
sharp	sac, nhon, ben
sharply	sac, nhon, ben
shave	cao (rau), bao, deo (go)
she	no, ba ay, chi ay, co ay...
sheep	con cuu
sheet	chan, khan trai giuong; la, tam, phien, to
shelf	ke, ngan, gia
shell	vo, mai; ve be ngoai
shelter	su nuong tua, su che cho, su an nau; che cho, bao ve
shift	doi cho, doi cho, chuyen, giao; su thay doi, su luan phien
shine	chieu sang, toa sang
shiny	sang choi, bong
ship	tau, tau thuy
shirt	ao so mi
shock	su dung cham, va cham, su kich dong, su choang; cham manh, va manh, gay soc
shocked	bi kich dong, bi va cham, bi soc
shocking	gay ra cam phan, toi te, gay kich dong
shoe	giay
shoot	vut qua, chay qua, nem, phong, ban; dam ra, troi ra
shooting	su ban, su phong di
shop	cua hang; di mua hang, di cho
shopping	su mua sam
short	ngan, cut
shortly	trong thoi gian ngan, som
shot	dan, vien dan
should	nen
shoulder	vai
shout	ho het, reo ho; su la het, su ho reo
show	bieu dien, trung bay; su bieu dien su bay to
shower	voi hoa sen, su tam voi hoa sen
shut	dong, khep, day; tinh khep kin
shy	nhut nhat, e then
sick	om, dau, benh
side	mat, mat phang, cho, vi tri
sideways	ngang, tu mot ben; sang ben
sight	canh dep; su nhin
sign	dau, dau hieu, ki hieu; danh dau, viet ky hieu
signal	dau hieu, tin hieu; ra hieu, bao hieu
signature	chu ky
significant	nhieu y nghia, quan trong
significantly	dang ke
silence	su im lang, su yen tinh
silent	im lang, yen tinh
silk	to, chi, lua
silly	ngo ngan, ngu ngoc, kho dai
silver	bac, dong bac; lam bang bac, trang nhu bac
similar	giong nhu, tuong tu nhu
similarly	tuong tu, giong nhau
simple	don, don gian, de dang
simply	mot cach de dang, gian di
since	tu, tu khi, tu luc do; tu do, tu luc ay
sincere	that tha, thang thang, chan thanh
sincerely	mot cach chan thanh
sing	hat, ca hat
singer	ca si
singing	su hat, tieng hat
single	don, don doc, don le
sink	chim, lun, dam
sir	xung ho lich su ngai, ong
sister	chi, em gai
sit	ngoi. sit down: ngoi xuong
situation	hoan canh, dia the, vi tri
size	co. da duoc dinh co
skilful	tai gioi, kheo tay
skilfully	tai gioi, kheo tay
skill	ky nang, ky sao
skilled	co ky nang, co ky sao, kheo tay; co kinh nghiem,, lanh nghe
skin	da, vo
skirt	vay, dam
sky	troi, bau troi
sleep	ngu; giac ngu
sleeve	tay ao, ong tay
slice	mieng, lat mong; cat ra thanh mieng mong, lat mong
slide	truotc, chuyen dong nhe, luot qua
slight	mong manh, thon, gay
slightly	manh khanh, mong manh, yeu ot
slip	truot, tuot, troi qua, chay qua
slope	doc, duong doc, do doc; nghieng, doc
slow	cham, cham chap
slowly	mot cach cham chap, cham dan
small	nho, be
smart	manh, ac liet, kheo leo, khon kheo
smash	dap, vo tan thanh manh; su dap, vo tan thanh manh
smell	ngui; su ngui, khuu giac
smile	cuoi, mim cuoi; nu cuoi, ve tuoi cuoi
smoke	khoi, hoi thuoc; hut thuoc, boc khoi, hoi
smoking	su hut thuoc
smooth	nhan, tron, muot ma
smoothly	mot cach em a, troi chay
snake	con ran; nguoi nham hiem, xao tra
snow	tuyet; tuyet roi
so	nhu vay, nhu the; vi the, vi vay, vi the cho nen so that de, de cho, de ma
soap	xa phong
social	co tinh xa hoi
socially	co tinh xa hoi
society	xa hoi
sock	tat ngan, mieng lot giay
soft	mem, deo
softly	mot cach mem deo
software	phan mem (m.tinh)
soil	dat trong; vet ban
soldier	linh, quan nhan
solid	ran; the ran, chat ran
solution	su giai quyet, giai phap
solve	giai, giai thich, giai quyet
some	mot it, mot vai
somebody	nguoi nao do
somehow	khong biet lam sao, bang cach nay hay cach khac
something	mot dieu gi do, mot viec gi do, mo cai gi do
spend	tieu, xai
spice	gia vi
spicy	co gia vi
spider	con nhen
spin	quay, quay tron
spirit	tinh than, tam hon, linh hon
spiritual	(thuoc) tinh than, linh hon
spite	su gian, su han thu; in spite of: mac du, bat chap
split	che, tach, chia ra; su che, su tach su chia ra
spoil	cuop, cuop doat
spoken	noi theo 1 cach nao do
spoon	cai thia
sport	the thao
spot	dau, dom, vet
spray	may, ong, binh phut, bom, phun; bom, phun, xit
spread	trai, cang ra, bay ra; truyen ba
spring	mua xuan
square	vuong, vuong van; dang hinh vuong, hinh vuong
squeeze	ep, vat, xiet; su ep, su vat, su xiet
stable	on dinh, binh tinh, vung vang; chuong ngua
staff	gay
stage	tang, be, san khau, giai doan
stair	bac thang
stamp	tem; dan tem
stand	dung, su dung. stand up: dung day
standard	tieu chuan, chuan, mau; lam tieu chuan, phu hop voi tieu chuan
star	ngoi sao, dan sao, trang tri hinh sao, danh dau sao
stare	nhim cham cham; su nhin cham cham
start	bat dau, khoi dong; su bat dau, su khoi dau, khoi hanh
state	nha nuoc, quoc gia, chinh quyen; (thuoc) nha nuoc, co lien quan den nha nuoc; phat bieu, tuyen bo
statement	su bay to, su phat bieu; su tuyen bo, su trinh bay
station	tram, diem, don
statue	tuong
status	tinh trang
stay	o lai, luu lai; su o lai, su luu lai
steadily	vung chac, vung vang, kien dinh
steady	vung chac, vung vang, kien dinh
steal	an cap, an trom
steam	hoi nuoc
steel	thep, nganh thep
steep	doc, doc dung
steeply	doc, cheo leo
steer	lai (tau, o to...)
step	buoc; buoc, buoc di
stick	dam, thoc, choc, cam, dinh; cai gay, qua cui, can
sticky	dinh; sanh; bay nhay, nhop nhap
stiff	cung, cung ran, kien quyet
stiffly	cung, cung ran, kien quyet
still	dung yen; van, van con
sting	cham, chich, dot; ngoi, voi (ong, muoi), noc (ran); su cham, chich..
stir	khuay, dao
stock	kho su tru, hang du tru, von
stomach	da day
stone	da
stop	dung, ngung, nghi, thoi; su dung, su ngung, su do lai
store	cua hang, kho hang; tich tru, cho vao kho
storm	con giong, b~o
story	chuyen, cau chuyen
stove	bep lo, lo suoi
straight	thang, khong cong
strain	su cang thang, su cang
strange	xa la, chua quen
strangely	la, xa la, chua quen
stranger	nguoi la
strategy	chien luoc
stream	dong suoi
strength	suc manh, suc khoe
stress	su cang thang; cang thang, ep, lam cang
stressed	bi cang thang, bi ep, bi cang
stretch	cang ra, duoi ra, keo dai ra
strict	nghiem khac, chat che,, khat khe
strictly	mot cach nghiem khac
strike	danh, dap, bai cong, dinh cong; cuoc bai cong, cuoc dinh cong
striking	noi bat, gay an tuong
string	day, soi day
strip	coi, lot (quan ao); su coi quan ao
stripe	soc, van, vien
striped	co soc, co van
stroke	cu danh, cu don; cai vuot ve, su vuot ve; vuot ve
strong	khoe, manh, ben, vung, chac chan
strongly	khoe, chac chan
structure	ket cau, cau truc
struggle	dau tranh; cuoc dau tranh, cuoc chien dau
student	sinh vien
studio	xuong phim, truong quay; phong thu
study	su hoc tap, su nghien cuu; hoc tap, nghien cuu
stuff	chat lieu, chat
stupid	ngu ngoc, ngu dan, ngo ngan
style	phong cach, kieu, mau, loai
subject	chu de, de tai; chu ngu
substance	chat lieu; ban chat; noi dung
substantial	thuc te, dang ke, quan trong
substantially	ve thuc chat, ve can ban
substitute	nguoi, vat thay the; thay the
succeed	noi tiep, ke tiep; ke nghiep, ke vi
success	su thanh cong, su thanh dat
successful	thanh cong, thang loi, thanh dat
successfully	thanh cong, thang loi, thanh dat
such	nhu the, nhu vay, nhu la. such as den noi, den muc
suck	bu, hut; hap thu, tiep thu
sudden	thinh linh, dot ngot
suddenly	thinh linh, dot ngot
street	pho, duong pho
suffer	chiu dung, chiu thiet hai, dau kho
suffering	su dau don, su dau kho
sufficient	(+ for) du, thich dang
sufficiently	du, thich dang
sugar	duong
suggest	de nghi, de xuat; goi
suggestion	su de nghi, su de xuat, su kheu goi
suit	bo com le, trang phuc; thich hop, quen, hop voi
suitable	hop, phu hop, thich hop voi
suitcase	va li
suited	hop, phu hop, thich hop voi
sum	tong, toan bo
summary	ban tom tat
summer	mua he
sun	mat troi
sunday	chu nhat
superior	cao, chat luong cao
supermarket	sieu thi
supply	su cung cap, nguon cung cap; cung cap, dap ung, tiep te
support	su chong do, su ung ho; chong do, ung ho
supporter	vat chong do; nguoi co vu, nguoi ung ho
suppose	cho rang, tin rang, nghi rang
sure	chac chan, xac thuc. make sure chac chan, lam cho chac chan
surely	chac chan
surface	mat, be mat
surname	ho
surprise	su ngac nhien, su bat ngo; lam ngac nhien, gay bat ngo
surprised	ngac nhien (+ at)
surprising	lam ngac nhien, lam bat ngo
surprisingly	lam ngac nhien, lam bat ngo
surround	vay quanh, bao quanh
surrounding	su vay quanh, su bao quanh
surroundings	vung xung quanh, moi truong xung quanh
survey	su nhin chung, su khao sat; quan sat, nhin chung, khao sat, nghien cuu
survive	song lau hon, tiep tuc song, song sot
suspect	nghi ngo, hoai nghi; nguoi kha nghi, nguoi bi tinh nghi
suspicion	su nghi ngo, su ngo vuc
suspicious	co su nghi ngo, to ra nghi ngo, kha nghi
swallow	nuot, nuot chung
swear	chui rua, nguyen rua; the, hua
swearing	loi the, loi nguyen rua, loi the hua
sweat	mo hoi; do mo hoi
sweater	nguoi ra mo hoi,, ke boc lot lao dong
sweep	quet
sweet	ngot, co vi ngot; su ngot bui, do ngot
swell	phong, sung len
swelling	su sung len, su phong ra
swim	boi loi
swimming	su boi loi
swimming pool	be nuoc
swing	su du dua, luc lac; danh du, du dua, luc lac
switch	cong tac, roi; tat, bat, danh bang gay, roi. switch sth off ngat dien. switch sth on bat dien
swollen	sung phong, phinh cang
symbol	bieu tuong, ky hieu
sympathetic	dong cam, dang men, de thuong
sympathy	su dong cam, su dong y
system	he thong, che do
table	cai ban
tablet	tam, ban, the phien
tackle	giai quyet, khac phuc, ban thao; do dung, dung cu
tail	duoi, doan cuoi
take	su cam nam, su lay. take sth off: coi, bo cai gi, lay di cai gi
talk	noi chuyen, tro chuyen; cuoc tro chuyen, cuoc thao luan
tall	cao
tank	thung, ket, be
tap	mo voi, dong voi; voi, khoa
tape	bang, bang ghi am; dai, day
target	bia, muc tieu, dich
task	nhiem vu, nghia vu, bai tap, cong tac, cong viec
taste	vi, vi giac; nem
tax	thue; danh thue
taxi	xe tac xi
tea	cay che, tra, che
teach	day
teacher	giao vien
teaching	su day, cong viec day hoc
team	doi, nhom
tear	xe, lam rach; cho rach, mieng xe; nuoc mat
technical	(thuoc) ky thuat, chuyen mon
technique	ky sao, ky thuat, phuong phap ky thuat
technology	ky thuat hoc, cong nghe hoc
telephone	may dien thoai, goi dien thoai
television	vo tuyen truyen hinh
tell	noi, noi voi
temperature	nhiet do
temporarily	tam
temporary	tam thoi, nhat thoi
tend	trong nom, cham soc, giu gin, hau ha
tendency	xu huong, chieu huong, khuynh huong
tension	su cang, do cang, tinh trang cang
tent	leu, rap
term	gioi han, ky han, khoa, ky hoc
terrible	khung khiep, ghe so
terribly	toi te, khong chiu noi
test	bai kiem tra, su thu nghiem, xet nghiem; kiem tra, xet nghiem, thu nghiem
text	nguyen van, ban van, chu de, de
than	hon
thank	cam on
thank you	cam on ban (ong ba, anh chi...)
thanks	su cam on, loi cam on
that	nguoi ay, do, vat ay, do; rang, la
the	cai, con, nguoi, ay nay....
theatre	rap hat, nha hat
their	cua chung, cua chung no, cua ho
theirs	cua chung, cua chung no, cua ho
them	chung, chung no, ho
theme	de tai, chu de
themselves	tu chung, tu ho, tu
then	khi do, luc do, tiep do
theory	ly thuyet, hoc thuyet
there	o noi do, tai noi do
therefore	boi vay, cho nen, vi the
they	chung, chung no, ho; nhung cai ay
thick	day; dam
thickly	day; day dac; thanh lop day
thickness	tinh chat day, do day, be day
thief	ke trom, ke cap
thin	mong, manh
thing	cai, do, vat
think	nghi, suy nghi
thinking	su suy nghi, y nghi
thirsty	khat, cam thay khat
this	cai nay, dieu nay, viec nay
thorough	can than, ky luong
thoroughly	ky luong, thau dao, triet de
though	du, du cho, mac du; mac du, tuy >nhien, tuy vay
thought	su suy nghi, kha >nang suy nghi; y >nghi, tu tuong, tu duy
thread	chi, soi chi, soi day
threat	su de doa, loi de doa
threaten	doa, de doa
threatening	su de doa, su ham doa
throat	co, co hong
through	qua, xuyen qua
throughout	khap, suot
throw	nem, vut, quang. throw sth away: >nem di, vut di, lieng di
thumb	ngon tay cai
thursday	thu 5
thus	nhu vay, nhu the, do do
ticket	ve
tidy	sach se, ngan nap, gon gang; lam >cho sach se, gon gang, ngan nap
tie	buoc, cot, troi; day buoc, day troi, >day giay. tie sth up co quan he >mat >thiet, gan chat
tight	kin, chat, chat
tightly	chat che, sit sao
till	cho den khi, toi luc ma
time	thoi gian, thi gio
timetable	ke hoach lam viec, thoi gian bieu
tin	thiec
tiny	rat nho, nho xiu
tip	dau, mut, dinh, chop; bit dau, lap >dau vao
tire	lam met moi, tro nen met nhoc; >lop, vo xe
tired	met, muon ngu, nham chan
tiring	su met moi, su met nhoc
title	dau de, tieu de; tuoc vi, tu cach
to	theo huong, toi
today	vao ngay nay; hom nay, ngay nay
toe	ngon chan (nguoi)
together	cung nhau, cung voi
toilet	nha ve sinh; su trang diem (rua >mat, an mac, chai toc...)
tomato	ca chua
tomorrow	vao ngay mai; ngay mai
ton	tan
tone	tieng, giong
tongue	luoi
tonight	vao dem nay, vao toi nay; dem >nay, toi nay
tonne	tan
too	cung
tool	dung cu, do dung
tooth	rang
top	chop, dinh; dung dau, tren het
topic	de tai, chu de
total	tong cong, toan bo; tong so, toan >bo so luong
totally	hoan toan
touch	so, mo, tiep xuc; su so, su mo, su >tiep xuc
tough	chac, ben, dai
tour	cuoc do du lich, cuoc di dao, >chuyen du lich; di du lich
tourist	khach du lich
towards	theo huong, ve huong
towel	khan tam, khan lau
tower	thap
town	thi tran, thi xa, thanh pho nho
toy	do choi, do trang tri; the loai do >choi
trace	phat hien, tim thay, vach, chi ra, >phac hoa; dau, vet, mot chut
track	phan cua dia; duong mon, duong >dua
trade	thuong mai, buon ban; buon ban, >trao doi
trading	su kinh >doanh, viec mua ban
tradition	truyen thong
traditional	theo truyen thong, theo loi co
traditionally	(thuoc) truyen thong, la truyen >thong
traffic	su di lai, su giao thong, su >chuyen >dong
train	xe lua, tau hoa; day, ren luyen, >dao tao
training	su day do, su huan luyen, su dao >tao
transfer	doi, di chuyen; su di chuyen, su >doi cho
transform	thay doi, bien doi
translate	dich, bien dich, phien dich
translation	su dich
transparent	trong suot; de hieu, sang sua
transport	su van chuyen, su van tai; >phuong tien di lai
trap	do dac, hanh ly; bay, cam bay; >bay, giu, chan lai
travel	di lai, di du lich, di chuyen; su di, >nhung chuyen di
traveller	nguoi di, lu khach
treat	doi xu, doi dai, cu xu
treatment	su doi xu, >su cu xu
tree	cay
trend	phuong huong, xu huong, chieu >huong
trial	su thu nghiem, cuoc thu nghiem
triangle	hinh tam giac
trick	muu meo, thu doan, tro lua gat, >lua gat
trip	cuoc dao choi, cuoc du ngoan; di >dao, du ngoan
tropical	nhiet doi
trouble	dieu lo lang, dieu muon phien
trousers	quan tay
truck	su trao doi, su doi chac
true	dung, that
truly	dung su that, dich thuc, thuc su
trust	niem tin, su pho thac; tin, tin cay, pho thac
truth	su that
try	thu, co gang
tube	ong, tuyp
tuesday	thu 3
tune	dieu, giai dieu; len day, so day (dan)
tunnel	duong ham, hang
turn	quay, xoay, van; su quay, vong quay
twice	hai lan
twin	sinh doi, tao thanh cap; cap song sinh
twist	xoan, cuon, quan; su xoan, vong xoan
twisted	duoc xoan, duoc cuon
type	loai, kieu, mau; phan loai, xep loai
typical	tieu bieu, dien hinh, dac trung
typically	dien hinh, tieu bieu
tyre	lop, vo xe
ugly	xau xi, xau xa
ultimate	cuoi cung, sau cung
ultimately	cuoi cung, sau cung
umbrella	o, du
unable	khong co nang luc, khong co tai, khong the, khong co kha nang
unacceptable	khong chap nhan duoc
uncertain	thieu chinh xac, khong chac chan
uncle	chu, bac
uncomfortable	bat tien, kho chiu, khong thoai ma
unconscious	bat tinh, khong co y thuc, khong biet ro
uncontrolled	khong bi dieu khien, khong bi kiem tra, khong bi han che
under	duoi, o duoi; o phia duoi, ve phia duoi
underground	duoi mat dat, ngam duoi dat; ngam
underneath	duoi, ben duoi
understand	hieu, nhan thuc
understanding	tri tue, su hieu biet
underwater	o duoi mat nuoc, duoi mat nuoc
underwear	quan lot
undo	thao, go; xoa bo, huy bo
unemployed	that nghiep; khong dung, khong su dung duoc
unemployment	su that nghiep, nan that nghiep
unexpected	bat ngo, gay ngac nhien
unexpectedly	bat ngo, gay ngac nhien
unfair	gian lan, khong cong bang; bat loi
unfairly	gian lan, khong cong bang; bat loi
unfortunate	khong may, rui ro, bat hanh
unfortunately	mot cach dang tiec, mot cach khong may
unfriendly	khong than thien, khong co thien cam
unhappiness	noi buon, su bat hanh
unhappy	buon rau, khon kho
uniform	dong phuc; deu, giong nhau, dong dang
unimportant	khonh quan trong, khong trong da
union	lien hiep, su doan ket, su hiep nhat
unique	doc nhat vo nhi
unit	don vi
unite	lien ket, hop nhat, hop lai, ket than
united	lien minh, doan ket, chung, thong nhat
universe	vu tru
university	truong dai hoc
unkind	doc ac, tan nhan
unknown	khong biet
unless	tru phi, tru khi, neu khong
unlike	khac, khong giong
unlikely	khong the xay ra, khong chac xay ra
unload	cat ganh nang, do hang
unlucky	khong gap may, bat hanh
unnecessary	khong can thiet, khong mong muon
unpleasant	khong de chiu, kho chiu, kho ua
unreasonable	vo ly
unsteady	khong chac, khong on dinh
unsuccessful	khong thanh cong, that bai
untidy	khong gon gang, khong ngan nap, lon xon
until	truoc khi, cho den khi
unusual	hiem, khac thuong
unusually	cuc ky, khac thuong
unwilling	khong muon, khong co y dinh
unwillingly	khong san long, mien cuong
up	o tren, len tren, len
upon	tren, o tren
upper	cao hon
upset	lam do, danh do
upsetting	tinh danh do, lam do
upside down	lon nguoc
upstairs	o ten gac, cu ngu o tang gac; tang tren, gac
upward	len, huong len, di len
upwards	len, huong len, di len, ve phia tren
urban	(thuoc) thanh pho, khu vuc
urge	thuc, giuc, giuc gia; su thuc day, su thoi thuc
urgent	gap, khan cap
us	chung toi, chung ta; toi va anh
use	su dung, dung; su dung, su su dung
used	da dung, da su dung. used to sth/to doing sth: su dung cai gi, su dung de lam cai gi
useful	huu ich, giup ich
useless	vo ich, vo dung
user	nguoi dung, nguoi su dung
usual	thong thuong, thuong dung
usually	thuong thuong
vacation	ky nghi he, ky nghi le; ngay nghi, ngay le
valid	chac chan, hieu qua, hop ly
valley	thung lung
valuable	co gia tri lon, dang gia
value	gia tri, uoc tinh, dinh gia
van	tien doi, quan tien phong, xe tai
variation	su bien doi, su thay doi muc do, su khac nhau
varied	thuoc nhieu loai khac nhau, nhung ve da dang
variety	su da dang, trang thai khac nhau
various	khac nhau, thuoc ve nhieu loai
vary	thay doi, lam cho khac nhau, bien doi
vast	rong lon, menh mong
vegetable	rau, thuc vat
vehicle	xe co
venture	du an kinh doanh, cong viec kinh doanh; lieu, mao hiem, ca gan
version	ban dich sang mot ngon ngu khac
vertical	thang dung, dung
very	rat, lam
via	qua, theo duong
victim	nan nhan
victory	chien thang
video	video
view	su nhin, tam nhin; nhin thay, xem, quan sat
village	lang, xa
violence	su ac liet, su du doi; bao luc
violent	manh liet, manh me, hung du
violently	manh liet, du doi
virtually	thuc su, hau nhu, gan nhu
virus	vi rut
visible	huu hinh, thay duoc
vision	su nhin, thi luc
visit	di tham hoi, den choi, tham quan; su di tham, su tham vieng
visitor	khach, du khach
vital	(thuoc) su song, can cho su song
vocabulary	tu vung
voice	tieng, giong noi
volume	the tich, quyen, tap
vote	su bo phieu, su bau cu; bo phieu, bau cu
wage	tien luong, tien cong
waist	eo, cho that lung
wait	cho doi
waiter	nguoi hau ban, nguoi doi, nguoi trong cho
waitress	nu hau ban
wake	thuc day, tinh thuc
walk	di, di bo; su di bo, su di dao
walking	su di, su di bo
wall	tuong, vach
wallet	cai vi
wander	di lang thang; su di lang thang
want	muon
war	chien tranh
warm	am, am ap; lam cho nong, ham nong
warmth	trang thai am, su am ap; hoi am
warn	bao cho biet, canh bao
warning	su bao truoc, loi canh bao
wash	rua, giat
washing	su tam rua, su giat
waste	lang phi, uong phi; vung hoang vu sa mac; bo hoang
watch	nhin, theo doi, quan sat; su canh gac, su canh phong
water	nuoc
wave	song, gon nuoc; gon song, uon thanh song
way	duong, duong di
we	chung toi, chung ta
weak	yeu, yeu ot
weakness	tinh trang yeu duoi, yeu ot
wealth	su giau co, su giau sang
weapon	vu khi
wear	mac, mang, deo
weather	thoi tiet
web	mang, luoi
website	khong gian lien toi voi internet
wedding	le cuoi, hon le
wednesday	thu 4
week	tuan, tuan le
weekend	cuoi tuan
weekly	moi tuan mot lan, hang tuan
weigh	can, can nang
weight	trong luong
welcome	chao mung, hoan nghenh
well	tot, gioi; oi, may qua!
well known	noi tieng, duoc nhieu nguoi biet den
west	phia tay, theo phia tay, ve huong tay
western	ve phia tay, cua phia tay
wet	uot, am uot
what	gi, the nao
whatever	bat cu thu gi, bat ke thu gi
wheel	banh xe
when	khi, luc, vao luc nao
whenever	bat cu luc nao, luc nao
where	dau, o dau; noi 
